Parameter,S1,ST
theta0,0.3848455498982194,0.4992280969082152
phi0,0.3643355754612814,0.493687137833834
EFP_error_x,0.00624457962055538,0.10508516726149934
EFP_error_y,0.002244247449798011,0.10411817711607796
vx,0.002052078745673213,0.021578166287366755
vy,0.0022541035551956775,0.021527966553624784
T1_sim,0.00015179342920075748,0.0003350547616393234
dtheta_dt,-4.753297221466293e-07,2.312397703714019e-08
dphi_dt,-2.1425771388828725e-06,2.2703878787360442e-08
